ID	population	project	sample_id	person_id	mean_depth	freemix	sex	mother	mother_sequenced_sample_id	mother_ibd	father	father_sequenced_sample_id	father_ibd	comment
SC_GMFUL5309717	GWF	GGVP	SC_GMFUL5309717	293279582	7.99	0.00025	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309718	GWF	GGVP	SC_GMFUL5309718	362966676	9.65	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309719	GWF	GGVP	SC_GMFUL5309719	419277377	9.38	0.00043	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309722	GWF	GGVP	SC_GMFUL5309722	126207979	8.55	0.0017	female	131318718	SC_GMFUL5309738	0.005:0.983:0.012	126541953	SC_GMFUL5309730	0.006:0.952:0.041	NA
SC_GMFUL5309725	GWF	GGVP	SC_GMFUL5309725	295502897	9.3	0.3	female	297624574	SC_GMFUL5309741	0.212:0.787:0.002	295602382	SC_GMFUL5309733	0.219:0.778:0.003	NA
SC_GMFUL5309730	GWF	GGVP	SC_GMFUL5309730	126541953	9.91	0.036	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309733	GWF	GGVP	SC_GMFUL5309733	295602382	9.67	0.0035	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309735	GWF	GGVP	SC_GMFUL5309735	485209069	13.33	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309738	GWF	GGVP	SC_GMFUL5309738	131318718	11.69	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309741	GWF	GGVP	SC_GMFUL5309741	297624574	12.01	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309747	GWF	GGVP	SC_GMFUL5309747	227098123	11.71	0	male	230184442	SC_GMFUL5309763	0.003:0.982:0.015	229790997	SC_GMFUL5309755	0.004:0.979:0.017	NA
SC_GMFUL5309748	GWF	GGVP	SC_GMFUL5309748	267690151	13.1	0.0017	female	272384511	SC_GMFUL5309764	0.006:0.983:0.010	268805708	SC_GMFUL5309756	0.004:0.979:0.017	NA
SC_GMFUL5309755	GWF	GGVP	SC_GMFUL5309755	229790997	12.73	0.00093	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309756	GWF	GGVP	SC_GMFUL5309756	268805708	12.93	0.00036	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309763	GWF	GGVP	SC_GMFUL5309763	230184442	10.66	0.004	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309764	GWF	GGVP	SC_GMFUL5309764	272384511	9.02	0.00047	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309773	GWF	GGVP	SC_GMFUL5309773	343276970	10.22	0.00078	female	343938875	SC_GMFUL5309789	0.002:0.955:0.043	343389795	SC_GMFUL5309781	0.003:0.942:0.055	NA
SC_GMFUL5309781	GWF	GGVP	SC_GMFUL5309781	343389795	10.59	0.0077	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309789	GWF	GGVP	SC_GMFUL5309789	343938875	13.62	0.0018	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309796	GWJ	GGVP	SC_GMJOL5309796	242113916	12.01	0	female	252228105	SC_GMJOL5309812	0.003:0.984:0.014	257811328	SC_GMJOL5309804	0.003:0.983:0.014	NA
SC_GMJOL5309797	GWJ	GGVP	SC_GMJOL5309797	347093440	10.61	0	female	348124244	SC_GMJOL5309813	0.007:0.966:0.028	348137473	SC_GMJOL5309805	0.003:0.984:0.013	NA
SC_GMJOL5309804	GWJ	GGVP	SC_GMJOL5309804	257811328	13.36	0.00073	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309805	GWJ	GGVP	SC_GMJOL5309805	348137473	12.7	0.00025	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309812	GWJ	GGVP	SC_GMJOL5309812	252228105	11.49	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309813	GWJ	GGVP	SC_GMJOL5309813	348124244	10.4	0.0001	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309819	GWJ	GGVP	SC_GMJOL5309819	125629846	10.37	0.00033	female	127136473	SC_GMJOL5309835	0.004:0.968:0.028	131728599	SC_GMJOL5309827	0.004:0.965:0.030	NA
SC_GMJOL5309820	GWJ	GGVP	SC_GMJOL5309820	259493861	12.35	0	female	264588601	SC_GMJOL5309836	0.003:0.969:0.028	267329873	SC_GMJOL5309828	0.006:0.983:0.011	NA
SC_GMJOL5309821	GWJ	GGVP	SC_GMJOL5309821	353773249	8.2	0.001	female	361925422	SC_GMJOL5309837	0.008:0.974:0.018	373643353	SC_GMJOL5309829	0.006:0.976:0.017	NA
SC_GMJOL5309827	GWJ	GGVP	SC_GMJOL5309827	131728599	14.57	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309828	GWJ	GGVP	SC_GMJOL5309828	267329873	10.07	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309829	GWJ	GGVP	SC_GMJOL5309829	373643353	9.16	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309835	GWJ	GGVP	SC_GMJOL5309835	127136473	9.98	5.6e-05	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309836	GWJ	GGVP	SC_GMJOL5309836	264588601	13.9	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309837	GWJ	GGVP	SC_GMJOL5309837	361925422	11.12	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309843	GWJ	GGVP	SC_GMJOL5309843	133612993	11.77	0.00017	female	135099931	SC_GMJOL5309859	0.004:0.979:0.017	140599023	SC_GMJOL5309851	0.008:0.973:0.019	NA
SC_GMJOL5309844	GWJ	GGVP	SC_GMJOL5309844	294002739	8.08	0	male	307909651	SC_GMJOL5309860	0.010:0.968:0.022	310442056	SC_GMJOL5309852	0.010:0.979:0.011	NA
SC_GMJOL5309851	GWJ	GGVP	SC_GMJOL5309851	140599023	7.39	2e-05	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309852	GWJ	GGVP	SC_GMJOL5309852	310442056	15.62	0.00054	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309859	GWJ	GGVP	SC_GMJOL5309859	135099931	13.42	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309860	GWJ	GGVP	SC_GMJOL5309860	307909651	10.07	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309867	GWJ	GGVP	SC_GMJOL5309867	152186815	11.43	0	female	158025517	SC_GMJOL5309883	0.006:0.975:0.019	158231140	SC_GMJOL5309875	0.004:0.971:0.025	NA
SC_GMJOL5309868	GWJ	GGVP	SC_GMJOL5309868	312769338	9.35	0.0013	male	319735774	SC_GMJOL5309884	0.003:0.976:0.020	321562521	SC_GMJOL5309876	0.004:0.979:0.016	NA
SC_GMJOL5309875	GWJ	GGVP	SC_GMJOL5309875	158231140	10.46	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309876	GWJ	GGVP	SC_GMJOL5309876	321562521	12.6	0.0029	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309883	GWJ	GGVP	SC_GMJOL5309883	158025517	10.93	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309884	GWJ	GGVP	SC_GMJOL5309884	319735774	11.61	0.00034	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309890	GWJ	GGVP	SC_GMJOL5309890	122537268	9.61	0.009	female	138281379	SC_GMJOL5309906	0.005:0.977:0.017	138981036	SC_GMJOL5309898	0.005:0.977:0.019	NA
SC_GMJOL5309891	GWJ	GGVP	SC_GMJOL5309891	300669543	9.22	0.00054	male	312676398	SC_GMJOL5309907	0.004:0.980:0.016	322929203	SC_GMJOL5309899	0.005:0.980:0.015	NA
SC_GMJOL5309895	GWJ	GGVP	SC_GMJOL5309895	302771485	11.59	0	female	303252821	SC_GMJOL5309911	0.003:0.978:0.020	310594590	SC_GMJOL5309903	0.005:0.973:0.022	NA
SC_GMJOL5309896	GWJ	GGVP	SC_GMJOL5309896	365685952	10.29	0.00053	female	366999257	SC_GMJOL5309912	0.004:0.979:0.016	368542201	SC_GMJOL5309904	0.005:0.978:0.016	NA
SC_GMJOL5309897	GWJ	GGVP	SC_GMJOL5309897	500479427	10.57	0.00018	male	500521612	SC_GMJOL5309913	0.005:0.981:0.014	502725396	SC_GMJOL5309905	0.004:0.984:0.011	NA
SC_GMJOL5309898	GWJ	GGVP	SC_GMJOL5309898	138981036	9.56	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309899	GWJ	GGVP	SC_GMJOL5309899	322929203	11.43	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309903	GWJ	GGVP	SC_GMJOL5309903	310594590	12.25	4.7e-05	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309904	GWJ	GGVP	SC_GMJOL5309904	368542201	9.65	0.00066	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309905	GWJ	GGVP	SC_GMJOL5309905	502725396	14	0.00019	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309906	GWJ	GGVP	SC_GMJOL5309906	138281379	9.2	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309907	GWJ	GGVP	SC_GMJOL5309907	312676398	10.21	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309911	GWJ	GGVP	SC_GMJOL5309911	303252821	9.52	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309912	GWJ	GGVP	SC_GMJOL5309912	366999257	11.13	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309913	GWJ	GGVP	SC_GMJOL5309913	500521612	9.53	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309914	GWJ	GGVP	SC_GMJOL5309914	219876737	10.32	0	female	220255386	SC_GMJOL5309930	0.003:0.978:0.019	222469488	SC_GMJOL5309922	0.004:0.978:0.018	NA
SC_GMJOL5309917	GWJ	GGVP	SC_GMJOL5309917	122553554	10.18	0.00023	female	122843407	SC_GMJOL5309933	0.004:0.979:0.018	125443503	SC_GMJOL5309925	0.006:0.970:0.024	NA
SC_GMJOL5309918	GWJ	GGVP	SC_GMJOL5309918	260661438	11.05	7.9e-05	female	261594539	SC_GMJOL5309934	0.003:0.984:0.013	265726479	SC_GMJOL5309926	0.005:0.972:0.023	NA
SC_GMJOL5309919	GWJ	GGVP	SC_GMJOL5309919	322637871	9.54	0	male	323368642	SC_GMJOL5309935	0.005:0.913:0.082	323885062	SC_GMJOL5309927	0.005:0.828:0.167	NA
SC_GMJOL5309920	GWJ	GGVP	SC_GMJOL5309920	428586843	8.59	0	female	431886388	SC_GMJOL5309936	0.006:0.972:0.022	433032002	SC_GMJOL5309928	0.009:0.973:0.018	NA
SC_GMJOL5309921	GWJ	GGVP	SC_GMJOL5309921	506760077	10.92	0	male	517939737	SC_GMJOL5309929	0.007:0.977:0.016	509454975	SC_GMJOL5309937	0.004:0.978:0.018	NA
SC_GMJOL5309922	GWJ	GGVP	SC_GMJOL5309922	222469488	11.83	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309925	GWJ	GGVP	SC_GMJOL5309925	125443503	11.11	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309926	GWJ	GGVP	SC_GMJOL5309926	265726479	10.06	0.00011	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309927	GWJ	GGVP	SC_GMJOL5309927	323885062	8.81	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309928	GWJ	GGVP	SC_GMJOL5309928	433032002	11	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309929	GWJ	GGVP	SC_GMJOL5309929	517939737	9.48	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309930	GWJ	GGVP	SC_GMJOL5309930	220255386	11.57	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309933	GWJ	GGVP	SC_GMJOL5309933	122843407	12.43	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309934	GWJ	GGVP	SC_GMJOL5309934	261594539	13.71	0.00026	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309935	GWJ	GGVP	SC_GMJOL5309935	323368642	11.83	5.7e-06	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309936	GWJ	GGVP	SC_GMJOL5309936	431886388	12.18	0.00085	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309937	GWJ	GGVP	SC_GMJOL5309937	509454975	9.77	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309939	GWJ	GGVP	SC_GMJOL5309939	505741215	10	0	female	509662293	NA	NA	528749803	NA	NA	NA
SC_GMJOL5309940	GWJ	GGVP	SC_GMJOL5309940	492440933	9.64	0.00076	male	495896104	SC_GMJOL5309956	0.007:0.982:0.011	493091644	SC_GMJOL5309948	0.007:0.974:0.020	NA
